carat,cut,color,clarity,depth,table,price,x,y,z,price_inr,volume,price_per_carat,dimension_ratio,carat_category,cluster
0.32,Ideal,G,VVS2,61.9,57.0,730,4.38,4.41,2.72,62050.0,52.538976000000005,2281.25,1.6158088235294115,Light,0
0.32,Very Good,H,VVS1,62.9,58.0,730,4.34,4.37,2.74,62050.0,51.96629200000001,2281.25,1.5894160583941606,Light,0
0.32,Ideal,G,VVS2,62.1,57.0,730,4.4,4.42,2.74,62050.0,53.28752000000001,2281.25,1.6094890510948905,Light,0
0.32,Ideal,G,VVS2,62.0,55.0,730,4.4,4.44,2.74,62050.0,53.52864000000002,2281.25,1.6131386861313868,Light,0
0.32,Ideal,G,VVS1,61.7,56.0,730,4.37,4.41,2.71,62050.0,52.226307000000006,2281.25,1.6199261992619929,Light,0
0.32,Ideal,H,VVS1,62.1,54.0,730,4.4,4.42,2.74,62050.0,53.28752000000001,2281.25,1.6094890510948905,Light,0
0.32,Very Good,H,VVS1,62.9,57.0,730,4.33,4.38,2.74,62050.0,51.965196,2281.25,1.5894160583941606,Light,0
0.32,Ideal,G,VVS2,62.4,54.0,730,4.37,4.38,2.73,62050.0,52.253837999999995,2281.25,1.6025641025641026,Light,0
0.32,Ideal,G,VVS2,61.2,56.0,730,4.41,4.42,2.7,62050.0,52.62894000000001,2281.25,1.635185185185185,Light,0
0.32,Ideal,H,VVS1,61.9,55.0,730,4.37,4.38,2.71,62050.0,51.871026,2281.25,1.6143911439114391,Light,0
0.32,Very Good,G,VVS2,62.3,54.0,730,4.38,4.45,2.75,62050.0,53.60025,2281.25,1.6054545454545455,Light,0
0.32,Ideal,G,VVS2,61.1,55.0,730,4.42,4.45,2.71,62050.0,53.30299,2281.25,1.6365313653136533,Light,0
0.32,Very Good,G,VVS2,62.6,58.0,730,4.35,4.37,2.73,62050.0,51.895934999999994,2281.25,1.597069597069597,Light,0
0.32,Premium,H,VVS1,61.5,59.0,730,4.37,4.41,2.7,62050.0,52.03359000000001,2281.25,1.625925925925926,Light,0
0.29,Very Good,F,VVS1,60.5,57.0,731,4.31,4.34,2.61,62135.0,48.82109399999999,2520.689655172414,1.6570881226053638,Light,0
0.29,Very Good,F,VVS1,62.1,55.0,731,4.26,4.28,2.65,62135.0,48.31692,2520.689655172414,1.611320754716981,Light,0
0.43,Very Good,J,VS2,60.9,59.0,731,4.86,4.9,2.97,62135.0,70.72758000000002,1700.0,1.6430976430976432,Light,0
0.3,Ideal,E,VVS2,61.2,61.0,731,4.3,4.33,2.64,62135.0,49.154160000000005,2436.666666666667,1.6344696969696968,Light,0
0.3,Ideal,E,VVS2,62.8,55.0,731,4.28,4.32,2.7,62135.0,49.921920000000014,2436.666666666667,1.5925925925925928,Light,0
0.3,Ideal,E,VVS2,61.5,55.0,731,4.33,4.35,2.67,62135.0,50.290785,2436.666666666667,1.6254681647940075,Light,0
0.41,Ideal,J,SI2,62.5,54.0,731,4.78,4.79,2.99,62135.0,68.45963800000001,1782.9268292682927,1.600334448160535,Light,0
0.4,Ideal,F,SI2,61.0,56.0,731,4.76,4.81,2.92,62135.0,66.85515199999999,1827.5,1.6386986301369864,Light,0
0.3,Ideal,F,VS1,61.3,55.0,731,4.36,4.32,2.66,62135.0,50.101632000000016,2436.666666666667,1.631578947368421,Light,0
0.3,Ideal,F,VS1,61.0,56.0,731,4.37,4.35,2.66,62135.0,50.56527,2436.666666666667,1.639097744360902,Light,0
0.3,Good,F,VS1,63.7,56.0,731,4.28,4.26,2.72,62135.0,49.593216000000005,2436.666666666667,1.5698529411764703,Light,0
0.3,Ideal,F,VS1,62.6,57.0,731,4.34,4.29,2.7,62135.0,50.27022,2436.666666666667,1.5981481481481479,Light,0
0.3,Ideal,F,VS1,61.7,56.0,731,4.34,4.32,2.67,62135.0,50.059295999999996,2436.666666666667,1.6217228464419475,Light,0
0.3,Premium,F,VS1,61.0,58.0,731,4.36,4.33,2.65,62135.0,50.02882,2436.666666666667,1.6396226415094342,Light,0
0.3,Premium,E,VS2,61.7,60.0,731,4.31,4.28,2.65,62135.0,48.88402,2436.666666666667,1.620754716981132,Light,0
0.45,Very Good,E,SI2,63.2,54.0,731,4.94,4.82,3.09,62135.0,73.57537200000002,1624.4444444444443,1.579288025889968,Light,0
0.4,Premium,H,VS1,62.7,59.0,731,4.63,4.71,2.93,62135.0,63.895388999999994,1827.5,1.5938566552901023,Light,0
0.32,Ideal,G,VVS1,61.3,60.0,732,4.39,4.42,2.7,62220.0,52.39026,2287.5,1.631481481481481,Light,0
0.44,Ideal,I,VS2,61.9,54.0,732,4.91,4.95,3.05,62220.0,74.128725,1663.6363636363637,1.616393442622951,Light,0
0.31,Ideal,D,SI1,62.7,56.0,732,4.36,4.32,2.72,62220.0,51.23174400000001,2361.2903225806454,1.5955882352941175,Light,0
0.41,Good,J,VS2,64.0,59.0,732,4.71,4.64,2.99,62220.0,65.344656,1785.3658536585367,1.563545150501672,Light,0
0.31,Very Good,D,SI1,63.4,58.0,732,4.35,4.32,2.75,62220.0,51.678,2361.2903225806454,1.5763636363636364,Light,0
0.31,Premium,D,SI1,61.1,57.0,732,4.36,4.35,2.66,62220.0,50.449560000000005,2361.2903225806454,1.637218045112782,Light,0
0.31,Ideal,D,SI1,61.1,56.0,732,4.38,4.36,2.67,62220.0,50.988456000000006,2361.2903225806454,1.6367041198501873,Light,0
0.31,Very Good,D,SI1,63.1,57.0,732,4.32,4.3,2.72,62220.0,50.526720000000005,2361.2903225806454,1.584558823529412,Light,0
0.31,Very Good,D,SI1,63.5,58.0,732,4.3,4.27,2.72,62220.0,49.941919999999996,2361.2903225806454,1.5753676470588234,Light,0
0.31,Very Good,D,SI1,63.4,55.0,732,4.3,4.28,2.72,62220.0,50.05888,2361.2903225806454,1.5772058823529411,Light,0
0.31,Very Good,D,SI1,63.5,57.0,732,4.32,4.28,2.73,62220.0,50.476608000000006,2361.2903225806454,1.5750915750915753,Light,0
0.41,Good,G,SI2,63.7,55.0,732,4.75,4.7,3.01,62220.0,67.19824999999999,1785.3658536585367,1.569767441860465,Light,0
0.31,Ideal,I,VVS1,62.1,56.0,732,4.38,4.35,2.71,62220.0,51.63362999999999,2361.2903225806454,1.6107011070110702,Light,0
0.31,Ideal,I,VVS1,61.4,54.0,732,4.41,4.38,2.7,62220.0,52.152660000000004,2361.2903225806454,1.6277777777777775,Light,0
0.31,Ideal,I,VVS1,62.0,54.0,732,4.37,4.34,2.7,62220.0,51.207660000000004,2361.2903225806454,1.612962962962963,Light,0
0.31,Premium,I,VVS1,61.0,58.0,732,4.39,4.33,2.66,62220.0,50.563142,2361.2903225806454,1.639097744360902,Light,0
0.31,Ideal,I,VVS1,62.8,55.0,732,4.36,4.33,2.73,62220.0,51.539124,2361.2903225806454,1.591575091575092,Light,0
0.31,Premium,I,VVS1,62.2,60.0,732,4.32,4.3,2.68,62220.0,49.783680000000004,2361.2903225806454,1.6082089552238807,Light,0
0.31,Very Good,I,VVS1,63.1,59.0,732,4.31,4.25,2.7,62220.0,49.45725,2361.2903225806454,1.5851851851851848,Light,0
0.31,Premium,D,SI1,60.2,56.0,732,4.4,4.37,2.64,62220.0,50.76192,2361.2903225806454,1.6609848484848484,Light,0
0.31,Ideal,D,SI1,61.2,55.0,732,4.49,4.37,2.71,62220.0,53.173723,2361.2903225806454,1.6346863468634685,Light,0
0.31,Premium,D,SI1,60.9,60.0,732,4.39,4.38,2.67,62220.0,51.339293999999995,2361.2903225806454,1.642322097378277,Light,0
0.31,Premium,D,SI1,60.0,61.0,732,4.43,4.41,2.65,62220.0,51.771195,2361.2903225806454,1.6679245283018869,Light,0
0.31,Ideal,D,SI1,61.0,57.0,732,4.41,4.38,2.68,62220.0,51.766344000000004,2361.2903225806454,1.6399253731343282,Light,0
0.31,Premium,D,SI1,61.2,60.0,732,4.41,4.35,2.68,62220.0,51.41178,2361.2903225806454,1.6343283582089552,Light,0
0.31,Ideal,D,SI1,62.0,55.0,732,4.38,4.36,2.71,62220.0,51.752328000000006,2361.2903225806454,1.6125461254612548,Light,0
0.31,Ideal,D,SI1,62.1,56.0,732,4.37,4.33,2.7,62220.0,51.089670000000005,2361.2903225806454,1.611111111111111,Light,0
0.31,Ideal,D,SI1,62.3,55.0,732,4.37,4.33,2.71,62220.0,51.278891,2361.2903225806454,1.6051660516605164,Light,0
0.31,Ideal,D,SI1,62.3,54.0,732,4.37,4.33,2.71,62220.0,51.278891,2361.2903225806454,1.6051660516605164,Light,0
0.31,Premium,D,SI1,62.2,52.0,732,4.37,4.34,2.71,62220.0,51.397318000000006,2361.2903225806454,1.6070110701107012,Light,0
0.31,Ideal,D,SI1,62.2,55.0,732,4.37,4.34,2.71,62220.0,51.397318000000006,2361.2903225806454,1.6070110701107012,Light,0
0.31,Ideal,D,SI1,61.7,57.0,732,4.38,4.34,2.69,62220.0,51.134748,2361.2903225806454,1.620817843866171,Light,0
0.31,Premium,D,SI1,61.4,58.0,732,4.39,4.34,2.68,62220.0,51.060967999999995,2361.2903225806454,1.6287313432835822,Light,0
0.31,Ideal,D,SI1,61.4,55.0,732,4.38,4.35,2.68,62220.0,51.062039999999996,2361.2903225806454,1.6287313432835822,Light,0
0.31,Ideal,D,SI1,62.6,56.0,732,4.36,4.33,2.72,62220.0,51.350336000000006,2361.2903225806454,1.5974264705882355,Light,0
0.31,Ideal,D,SI1,61.9,57.0,732,4.36,4.33,2.69,62220.0,50.783972000000006,2361.2903225806454,1.6152416356877326,Light,0
0.31,Ideal,D,SI1,60.8,56.0,732,4.37,4.32,2.64,62220.0,49.83897600000001,2361.2903225806454,1.6458333333333335,Light,0
0.31,Premium,D,SI1,61.4,58.0,732,4.36,4.33,2.67,62220.0,50.406396,2361.2903225806454,1.6273408239700378,Light,0
0.31,Ideal,D,SI1,62.4,56.0,732,4.35,4.33,2.71,62220.0,51.044205,2361.2903225806454,1.6014760147601477,Light,0
0.31,Ideal,D,SI1,62.4,53.0,732,4.35,4.33,2.71,62220.0,51.044205,2361.2903225806454,1.6014760147601477,Light,0
0.31,Ideal,D,SI1,61.5,56.0,732,4.35,4.33,2.67,62220.0,50.290785,2361.2903225806454,1.6254681647940075,Light,0
0.31,Ideal,D,SI1,62.6,57.0,732,4.33,4.3,2.7,62220.0,50.271300000000004,2361.2903225806454,1.5981481481481479,Light,0
0.31,Premium,D,SI1,62.0,58.0,732,4.35,4.3,2.68,62220.0,50.1294,2361.2903225806454,1.6138059701492533,Light,0
0.31,Ideal,D,SI1,62.9,56.0,732,4.34,4.31,2.72,62220.0,50.878688,2361.2903225806454,1.5900735294117643,Light,0
0.31,Premium,D,SI1,61.7,59.0,732,4.35,4.31,2.67,62220.0,50.058494999999986,2361.2903225806454,1.6217228464419475,Light,0
0.31,Ideal,D,SI1,62.4,56.0,732,4.35,4.31,2.7,62220.0,50.62094999999999,2361.2903225806454,1.6037037037037036,Light,0
0.31,Good,D,SI1,63.7,54.0,732,4.35,4.31,2.76,62220.0,51.745859999999986,2361.2903225806454,1.568840579710145,Light,0
0.31,Ideal,D,SI1,63.0,55.0,732,4.34,4.32,2.73,62220.0,51.184224,2361.2903225806454,1.5860805860805862,Light,0
0.31,Ideal,D,SI1,63.0,54.0,732,4.35,4.32,2.73,62220.0,51.30215999999999,2361.2903225806454,1.5879120879120878,Light,0
0.31,Ideal,D,SI1,61.8,57.0,732,4.36,4.32,2.68,62220.0,50.47833600000001,2361.2903225806454,1.6194029850746268,Light,0
0.31,Premium,D,SI1,62.1,58.0,732,4.33,4.3,2.68,62220.0,49.898920000000004,2361.2903225806454,1.6100746268656714,Light,0
0.31,Ideal,D,SI1,62.6,57.0,732,4.32,4.3,2.7,62220.0,50.15520000000001,2361.2903225806454,1.5962962962962963,Light,0
0.31,Very Good,D,SI1,63.5,56.0,732,4.31,4.29,2.73,62220.0,50.477427,2361.2903225806454,1.575091575091575,Light,0
0.31,Ideal,D,SI1,62.9,57.0,732,4.32,4.27,2.7,62220.0,49.80528,2361.2903225806454,1.5907407407407406,Light,0
0.31,Good,D,SI1,63.9,54.0,732,4.3,4.27,2.74,62220.0,50.30914,2361.2903225806454,1.563868613138686,Light,0
0.31,Very Good,D,SI1,63.5,55.0,732,4.3,4.27,2.72,62220.0,49.941919999999996,2361.2903225806454,1.5753676470588234,Light,0
0.31,Ideal,D,SI1,61.8,56.0,732,4.37,4.34,2.69,62220.0,51.018002,2361.2903225806454,1.6189591078066916,Light,0
0.3,Premium,D,VS1,61.2,59.0,732,4.34,4.29,2.64,62220.0,49.153104000000006,2440.0,1.6344696969696968,Light,0
0.35,Very Good,H,VVS1,61.1,56.0,733,4.54,4.57,2.78,62305.0,57.678884000000004,2094.285714285714,1.6384892086330936,Light,0
0.26,Ideal,E,VVS2,61.3,57.0,733,4.12,4.15,2.53,62305.0,43.257940000000005,2819.230769230769,1.6343873517786562,Light,0
0.32,Ideal,G,VVS1,61.3,55.0,733,4.46,4.38,2.71,62305.0,52.939308000000004,2290.625,1.6309963099630995,Light,0
0.26,Ideal,F,VVS1,60.3,56.0,733,4.15,4.17,2.51,62305.0,43.436805,2819.230769230769,1.6573705179282872,Light,0
0.31,Ideal,E,VS1,60.7,57.0,733,4.37,4.4,2.66,62305.0,51.146480000000004,2364.516129032258,1.6484962406015036,Light,0
0.26,Ideal,F,IF,62.0,56.0,733,4.07,4.1,2.53,62305.0,42.21811,2819.230769230769,1.6146245059288538,Light,0
0.44,Good,H,SI1,63.5,57.0,733,4.82,4.85,3.07,62305.0,71.76738999999999,1665.909090909091,1.5749185667752443,Light,0
0.44,Ideal,H,SI1,61.9,57.0,733,4.9,4.92,3.04,62305.0,73.28832,1665.909090909091,1.6151315789473684,Light,0
0.38,Very Good,D,SI1,58.9,61.0,733,4.75,4.79,2.81,62305.0,63.93452500000001,1928.9473684210527,1.6975088967971528,Light,0
0.38,Very Good,D,SI1,59.7,60.0,733,4.66,4.69,2.79,62305.0,60.97656600000001,1928.9473684210527,1.6756272401433694,Light,0
0.38,Premium,D,SI1,60.7,60.0,733,4.63,4.69,2.83,62305.0,61.452601,1928.9473684210527,1.646643109540636,Light,0
0.38,Premium,D,SI1,62.2,58.0,733,4.57,4.63,2.86,62305.0,60.515026000000006,1928.9473684210527,1.6083916083916083,Light,0
0.3,Ideal,G,VVS1,60.6,57.0,734,4.36,4.38,2.65,62390.0,50.60652,2446.666666666667,1.649056603773585,Light,0
0.39,Ideal,E,VS2,61.4,55.0,734,4.76,4.81,2.94,62390.0,67.313064,1882.051282051282,1.6275510204081634,Light,0
0.4,Good,J,VS1,64.0,56.0,734,4.69,4.66,2.99,62390.0,65.34764600000001,1835.0,1.5635451505016724,Light,0
0.39,Very Good,G,VS2,59.8,61.0,734,4.72,4.75,2.83,62390.0,63.4486,1882.051282051282,1.673144876325088,Light,0
0.39,Good,G,VS2,63.7,53.0,734,4.62,4.67,2.96,62390.0,63.863184000000004,1882.051282051282,1.5692567567567566,Light,0
0.39,Very Good,G,VS2,60.4,61.0,734,4.71,4.73,2.85,62390.0,63.49315500000001,1882.051282051282,1.6561403508771932,Light,0
0.31,Ideal,D,VS2,61.5,56.0,734,4.37,4.41,2.7,62390.0,52.03359000000001,2367.741935483871,1.625925925925926,Light,0
0.31,Very Good,D,VS2,62.9,55.0,734,4.31,4.34,2.72,62390.0,50.878688,2367.741935483871,1.5900735294117643,Light,0
0.31,Ideal,D,VS2,61.9,56.0,734,4.34,4.38,2.7,62390.0,51.32484,2367.741935483871,1.6148148148148145,Light,0
0.31,Premium,E,VS1,60.2,58.0,734,4.38,4.43,2.65,62390.0,51.41900999999999,2367.741935483871,1.662264150943396,Light,0
0.31,Premium,D,VS2,62.6,59.0,734,4.3,4.33,2.7,62390.0,50.271300000000004,2367.741935483871,1.5981481481481479,Light,0
0.31,Premium,E,VS1,61.9,58.0,734,4.31,4.32,2.67,62390.0,49.713263999999995,2367.741935483871,1.6161048689138575,Light,0
0.31,Ideal,D,VS2,62.5,56.0,734,4.29,4.32,2.69,62390.0,49.853232000000006,2367.741935483871,1.600371747211896,Light,0
0.31,Ideal,E,VS1,61.6,56.0,734,4.35,4.38,2.69,62390.0,51.25256999999999,2367.741935483871,1.6226765799256506,Light,0
0.31,Ideal,D,VS2,62.7,57.0,734,4.3,4.34,2.71,62390.0,50.57402,2367.741935483871,1.5940959409594098,Light,0
0.31,Ideal,D,VS2,62.0,55.0,734,4.33,4.35,2.69,62390.0,50.667494999999995,2367.741935483871,1.6133828996282529,Light,0
0.31,Premium,E,VS1,61.0,58.0,734,4.37,4.39,2.67,62390.0,51.222081,2367.741935483871,1.6404494382022472,Light,0
0.31,Ideal,D,VS2,61.5,56.0,734,4.35,4.36,2.68,62390.0,50.828880000000005,2367.741935483871,1.625,Light,0
0.31,Ideal,D,VS2,62.6,56.0,734,4.33,4.36,2.72,62390.0,51.350336000000006,2367.741935483871,1.5974264705882355,Light,0
0.31,Ideal,D,VS2,62.5,56.0,734,4.31,4.36,2.71,62390.0,50.925236,2367.741935483871,1.599630996309963,Light,0
0.31,Premium,E,VS1,60.0,59.0,734,4.38,4.42,2.64,62390.0,51.109344,2367.741935483871,1.6666666666666667,Light,0
0.31,Very Good,D,VS2,62.3,55.0,734,4.32,4.35,2.7,62390.0,50.7384,2367.741935483871,1.6055555555555554,Light,0
0.31,Ideal,D,VS2,61.3,57.0,734,4.37,4.4,2.69,62390.0,51.72332,2367.741935483871,1.6301115241635686,Light,0
0.31,Ideal,D,VS2,62.3,55.0,734,4.33,4.37,2.71,62390.0,51.278891,2367.741935483871,1.6051660516605164,Light,0
0.31,Premium,E,VS1,61.7,58.0,734,4.3,4.36,2.67,62390.0,50.05716,2367.741935483871,1.6217228464419475,Light,0
0.31,Ideal,D,VS2,61.2,55.0,734,4.36,4.46,2.7,62390.0,52.50312000000001,2367.741935483871,1.6333333333333333,Light,0
0.31,Ideal,D,VS2,60.4,56.0,734,4.39,4.42,2.66,62390.0,51.614107999999995,2367.741935483871,1.6560150375939846,Light,0
0.31,Premium,D,VS2,61.2,59.0,734,4.32,4.37,2.66,62390.0,50.21654400000001,2367.741935483871,1.6334586466165415,Light,0
0.31,Ideal,D,VS2,62.5,56.0,734,4.34,4.36,2.72,62390.0,51.468928000000005,2367.741935483871,1.5992647058823526,Light,0
0.31,Ideal,D,VS2,61.7,55.0,734,4.35,4.4,2.7,62390.0,51.678000000000004,2367.741935483871,1.6203703703703702,Light,0
0.31,Ideal,E,VS1,61.8,56.0,734,4.34,4.37,2.69,62390.0,51.018002,2367.741935483871,1.6189591078066916,Light,0
0.31,Ideal,D,VS2,62.2,54.0,734,4.31,4.34,2.69,62390.0,50.317525999999994,2367.741935483871,1.607806691449814,Light,0
0.31,Ideal,E,VS1,61.6,57.0,734,4.32,4.35,2.67,62390.0,50.17464,2367.741935483871,1.6235955056179776,Light,0
0.31,Premium,E,VS1,61.1,58.0,734,4.34,4.37,2.66,62390.0,50.449028000000006,2367.741935483871,1.637218045112782,Light,0
0.31,Ideal,D,VS2,61.2,55.0,734,4.37,4.39,2.68,62390.0,51.413924,2367.741935483871,1.6343283582089552,Light,0
0.31,Ideal,D,VS2,62.1,54.0,734,4.34,4.36,2.7,62390.0,51.09048,2367.741935483871,1.611111111111111,Light,0
0.31,Ideal,D,VS2,61.8,55.0,734,4.33,4.37,2.69,62390.0,50.900449,2367.741935483871,1.6171003717472119,Light,0
0.31,Ideal,D,VS2,61.8,56.0,734,4.32,4.36,2.68,62390.0,50.47833600000001,2367.741935483871,1.6194029850746268,Light,0
0.31,Ideal,D,VS2,61.6,57.0,734,4.36,4.38,2.69,62390.0,51.370392,2367.741935483871,1.6245353159851301,Light,0
0.31,Ideal,D,VS2,62.2,56.0,734,4.32,4.33,2.69,62390.0,50.318064,2367.741935483871,1.6078066914498141,Light,0
0.31,Ideal,D,VS2,61.2,55.0,734,4.35,4.38,2.67,62390.0,50.871509999999994,2367.741935483871,1.6348314606741574,Light,0
0.31,Ideal,E,VS1,60.9,57.0,734,4.39,4.41,2.68,62390.0,51.884532,2367.741935483871,1.6417910447761195,Light,0
0.31,Ideal,D,VS2,62.1,54.0,734,4.33,4.37,2.7,62390.0,51.089670000000005,2367.741935483871,1.611111111111111,Light,0
0.31,Very Good,D,VS2,61.8,57.0,734,4.36,4.41,2.71,62390.0,52.106796,2367.741935483871,1.618081180811808,Light,0
0.31,Ideal,D,VS2,61.8,57.0,734,4.36,4.38,2.7,62390.0,51.56136000000001,2367.741935483871,1.6185185185185185,Light,0
0.31,Ideal,E,VS1,61.9,56.0,734,4.32,4.34,2.68,62390.0,50.246784,2367.741935483871,1.6156716417910446,Light,0
0.31,Ideal,D,VS2,62.1,55.0,734,4.31,4.32,2.68,62390.0,49.899456,2367.741935483871,1.6100746268656714,Light,0
0.31,Ideal,D,VS2,61.9,56.0,734,4.37,4.38,2.71,62390.0,51.871026,2367.741935483871,1.6143911439114391,Light,0
0.31,Ideal,D,VS2,59.0,57.0,734,4.44,4.48,2.63,62390.0,52.31385600000001,2367.741935483871,1.6958174904942969,Light,0
0.31,Premium,D,VS2,62.0,59.0,734,4.32,4.36,2.69,62390.0,50.66668800000001,2367.741935483871,1.6133828996282529,Light,0
0.31,Ideal,D,VS2,62.1,54.0,734,4.35,4.41,2.72,62390.0,52.17912,2367.741935483871,1.6102941176470587,Light,0
0.31,Ideal,D,VS2,62.2,57.0,734,4.31,4.34,2.69,62390.0,50.317525999999994,2367.741935483871,1.607806691449814,Light,0
0.31,Ideal,D,VS2,61.5,56.0,734,4.34,4.37,2.68,62390.0,50.82834400000001,2367.741935483871,1.625,Light,0
0.31,Ideal,D,VS2,61.6,55.0,734,4.36,4.37,2.69,62390.0,51.253108,2367.741935483871,1.6226765799256506,Light,0
0.31,Premium,E,VS1,60.5,59.0,734,4.36,4.37,2.64,62390.0,50.300448,2367.741935483871,1.6534090909090908,Light,0
0.31,Ideal,D,VS2,61.2,55.0,734,4.37,4.42,2.69,62390.0,51.958426,2367.741935483871,1.6338289962825276,Light,0
0.31,Ideal,D,VS2,61.5,56.0,734,4.35,4.37,2.68,62390.0,50.945460000000004,2367.741935483871,1.6268656716417906,Light,0
0.31,Ideal,E,VS1,60.4,57.0,734,4.37,4.4,2.65,62390.0,50.9542,2367.741935483871,1.6547169811320754,Light,0
0.31,Ideal,E,VS1,61.8,56.0,734,4.33,4.34,2.68,62390.0,50.363096000000006,2367.741935483871,1.6175373134328357,Light,0
0.31,Ideal,D,VS2,62.1,56.0,734,4.34,4.35,2.7,62390.0,50.973299999999995,2367.741935483871,1.6092592592592592,Light,0
0.31,Ideal,E,VS1,61.7,56.0,734,4.37,4.41,2.71,62390.0,52.226307000000006,2367.741935483871,1.6199261992619929,Light,0
0.31,Ideal,D,VS2,62.1,55.0,734,4.32,4.35,2.69,62390.0,50.55047999999999,2367.741935483871,1.6115241635687731,Light,0
0.31,Ideal,D,VS2,62.0,55.0,734,4.36,4.38,2.71,62390.0,51.752328000000006,2367.741935483871,1.6125461254612548,Light,0
0.31,Ideal,D,VS2,62.5,57.0,734,4.31,4.36,2.71,62390.0,50.925236,2367.741935483871,1.599630996309963,Light,0
0.31,Premium,D,VS2,60.7,59.0,734,4.35,4.38,2.65,62390.0,50.49044999999999,2367.741935483871,1.647169811320755,Light,0
0.31,Ideal,D,VS2,60.7,56.0,734,4.35,4.38,2.65,62390.0,50.49044999999999,2367.741935483871,1.647169811320755,Light,0
0.31,Ideal,E,VS1,61.4,57.0,734,4.32,4.37,2.67,62390.0,50.405328000000004,2367.741935483871,1.6273408239700378,Light,0
0.31,Premium,D,VS2,61.7,59.0,734,4.31,4.34,2.67,62390.0,49.943417999999994,2367.741935483871,1.6198501872659175,Light,0
0.3,Very Good,D,SI2,62.9,58.0,447,4.26,4.29,2.69,37995.0,49.16082599999999,1490.0,1.5892193308550187,Light,0
0.3,Very Good,G,SI1,61.6,59.0,447,4.26,4.28,2.63,37995.0,47.952264,1490.0,1.623574144486692,Light,0
0.3,Premium,D,SI2,62.3,58.0,447,4.29,4.32,2.68,37995.0,49.66790400000001,1490.0,1.6063432835820894,Light,0
0.3,Ideal,D,SI2,60.2,56.0,447,4.37,4.4,2.64,37995.0,50.76192,1490.0,1.6609848484848484,Light,0
0.3,Very Good,D,SI2,62.2,59.0,447,4.25,4.3,2.66,37995.0,48.6115,1490.0,1.6071428571428572,Light,0
0.34,Very Good,I,SI1,61.8,57.0,447,4.46,4.51,2.77,37995.0,55.717442,1314.705882352941,1.61913357400722,Light,0
0.34,Good,F,SI2,63.5,56.0,447,4.44,4.48,2.83,37995.0,56.292096000000015,1314.705882352941,1.5759717314487636,Light,0
0.3,Ideal,D,SI2,62.1,57.0,447,4.3,4.33,2.68,37995.0,49.898920000000004,1490.0,1.6100746268656714,Light,0
0.34,Very Good,G,SI2,62.8,59.0,447,4.45,4.47,2.8,37995.0,55.6962,1314.705882352941,1.592857142857143,Light,0
0.3,Very Good,G,SI1,62.8,56.0,447,4.28,4.32,2.7,37995.0,49.921920000000014,1490.0,1.5925925925925928,Light,0
0.3,Very Good,G,SI1,62.7,58.0,447,4.22,4.27,2.66,37995.0,47.93160399999999,1490.0,1.595864661654135,Light,0
0.3,Good,D,SI2,63.4,56.0,447,4.26,4.29,2.71,37995.0,49.52633399999999,1490.0,1.5774907749077491,Light,0
0.3,Good,D,SI2,63.2,57.0,447,4.21,4.24,2.67,37995.0,47.660568,1490.0,1.5823970037453183,Light,0
0.3,Very Good,D,SI2,61.8,58.0,447,4.29,4.32,2.66,37995.0,49.29724800000001,1490.0,1.6184210526315788,Light,0
0.34,Very Good,F,SI2,61.7,61.0,447,4.44,4.48,2.75,37995.0,54.700800000000015,1314.705882352941,1.621818181818182,Light,0
0.3,Very Good,G,SI1,58.8,60.0,447,4.35,4.39,2.57,37995.0,49.07800499999998,1490.0,1.7003891050583655,Light,0
0.3,Very Good,G,SI1,59.5,63.0,447,4.29,4.32,2.56,37995.0,47.443968000000005,1490.0,1.6816406249999998,Light,0
0.3,Very Good,G,SI1,59.7,60.0,447,4.35,4.39,2.61,37995.0,49.841864999999984,1490.0,1.6743295019157085,Light,0
0.34,Premium,I,SI1,62.7,58.0,447,4.4,4.43,2.77,37995.0,53.99284,1314.705882352941,1.5938628158844765,Light,0
0.34,Very Good,G,SI2,62.8,58.0,447,4.43,4.46,2.79,37995.0,55.124262,1314.705882352941,1.593189964157706,Light,0
0.34,Good,I,SI1,63.7,54.0,447,4.43,4.48,2.84,37995.0,56.363775999999994,1314.705882352941,1.568661971830986,Light,0
0.3,Very Good,G,SI1,61.4,57.0,447,4.31,4.35,2.66,37995.0,49.87100999999999,1490.0,1.6278195488721805,Light,0
0.3,Very Good,G,SI1,62.9,59.0,447,4.24,4.28,2.68,37995.0,48.634496000000006,1490.0,1.58955223880597,Light,0
0.3,Premium,D,SI2,60.2,60.0,447,4.32,4.35,2.61,37995.0,49.04711999999999,1490.0,1.660919540229885,Light,0
0.28,Ideal,I,VS1,61.8,55.0,448,4.2,4.25,2.61,38080.0,46.5885,1599.9999999999998,1.6187739463601531,Light,0
0.28,Ideal,I,VS1,62.5,54.0,448,4.18,4.23,2.63,38080.0,46.502082,1599.9999999999998,1.5988593155893538,Light,0
0.28,Ideal,I,VS1,62.4,54.0,448,4.18,4.19,2.61,38080.0,45.712061999999996,1599.9999999999998,1.6034482758620692,Light,0
0.26,Ideal,H,VS1,62.6,56.0,448,4.07,4.09,2.55,38080.0,42.448065,1723.076923076923,1.6,Light,0
0.26,Ideal,H,VS1,61.9,55.0,448,4.1,4.13,2.55,38080.0,43.17915,1723.076923076923,1.6137254901960787,Light,0
0.26,Ideal,H,VS1,62.1,56.0,448,4.13,4.15,2.56,38080.0,43.877120000000005,1723.076923076923,1.6171875000000002,Light,0
